municipio,nombre_unidad,tipologia,clave_ins,institucion,nivel_atencion,tipo_establecimiento,latitud,longitud
GUADALAJARA,UMF-UMAA 52 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR CON UNIDAD MÉDICA DE ATENCIÓN AMBULATORIA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6559705,-103.328467
GUADALAJARA,UMF 55 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.17,-103.21
GUADALAJARA,UMF 78 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6516544,-103.3006543
GUADALAJARA,UMF 79 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6915346,-103.3520454
GUADALAJARA,UMF 88 GUADALAJARA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6232169,-103.3929464
GUADALAJARA,UMF 91 EL FRESNO,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6577239,-103.375584
GUADALAJARA,UMF 92 MIRAVALLE,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6146396,-103.3429925
LA HUERTA,UMF 83 LA HUERTA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.4878259,-104.6344444
LA HUERTA,UMF 70 CAREYES,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.443684,-105.0233066
IXTLAHUACAN DEL RIO,UMF 57 IXTLAHUACAN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.8637569,-103.2361364
JALOSTOTITLAN,UMF 85 JALOSTITLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,21.15722,-102.4633908
JAMAY,UMF 100 JAMAY,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.2927265,-102.7125502
JOCOTEPEC,UMF 58 JOCOTEPEC,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.2810541,-103.4338906
LAGOS DE MORENO,UMF 177 LAGOS DE MORENO,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,21.3584777,-101.9277173
MAGDALENA,UMF 97 MAGDALENA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.9105499,-103.9720258
MASCOTA,UMF 96 MASCOTA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.5213925,-104.7864354
MAZAMITLA,UMF 61 MASAMITLA,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.9214959,-103.0165207
OCOTLAN,HGZMF 6 OCOTLÁN,HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.3553,-102.775
OCOTLAN,UMF 169 OCOTLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.3474511,-102.7703708
PIHUAMO,UMFH 13 PIHUAMO,UNIDAD DE MEDICINA FAMILIAR CON HOSPITALIZACIÓN,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,19.2539918,-103.3794504
PONCITLAN,UMF 95 PONCITLÁN,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.3799068,-102.924343
PUERTO VALLARTA,HGZ 42 PTO. VALLARTA,HOSPITAL GENERAL DE ZONA,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SEGUNDO NIVEL,DE HOSPITALIZACIÓN,20.6376,-105.232
PUERTO VALLARTA,UMF 170 DEL MAR,UNIDAD DE MEDICINA FAMILIAR,IMSS,INSTITUTO MEXICANO DEL SEGURO SOCIAL,PRIMER NIVEL,DE CONSULTA EXTERNA,20.6537377,-105.2348891
